date,county_name,claims,gender male,gender female,gender unknown,race white,race black or african american,race asian,race american indian or alaska native,race native hawaiian or other pacific islander,race race unknown,ethnicity not hispanic,ethnicity hispanic,ethnicity n/a,education less than a high school diploma,education high school or ged,education some college or associate degree,education bachelor's degree,education master's degree or higher
2020-01-04,Norfolk County,5265,3425,1838,,3818,588,349,9,15,486,4662,266,337,191,1895,1403,1201,569
2020-01-11,Norfolk County,5092,3369,1721,,3749,501,342,11,17,472,4509,266,317,192,1801,1319,1222,552
2020-01-18,Norfolk County,5085,3374,1709,,3760,503,323,12,18,469,4493,277,315,189,1806,1302,1205,579
2020-01-25,Norfolk County,5062,3396,1664,,3774,487,305,10,16,470,4477,277,308,193,1794,1297,1210,563
2020-02-01,Norfolk County,5132,3461,1669,,3841,487,305,12,15,472,4546,282,304,193,1851,1308,1209,567
2020-02-08,Norfolk County,5157,3491,1664,,3866,484,297,13,17,480,4533,288,336,195,1878,1323,1202,554
2020-02-15,Norfolk County,5229,3552,1675,,3933,486,295,15,16,484,4595,297,337,205,1892,1358,1202,566
2020-02-22,Norfolk County,5519,3639,1878,,4088,595,312,15,15,494,4879,290,350,225,2067,1422,1223,577
2020-02-29,Norfolk County,5190,3475,1714,,3887,491,320,13,14,465,4581,286,323,203,1885,1321,1203,572
2020-03-07,Norfolk County,5184,3450,1733,,3833,496,361,12,16,466,4577,281,326,202,1880,1311,1194,592
2020-03-14,Norfolk County,6620,3888,2730,,4872,583,539,18,18,590,5830,387,403,265,2321,1834,1537,656
2020-03-21,Norfolk County,16265,8407,7857,,12151,1155,1527,49,29,1354,14477,902,886,576,5554,5171,3678,1241
2020-03-28,Norfolk County,27514,14030,13482,,19995,1954,3310,86,46,2123,24530,1488,1496,1131,9492,8657,6157,1943
2020-04-04,Norfolk County,36685,18091,18593,,25916,2652,5185,108,59,2765,32785,1960,1940,1699,12506,11327,8325,2612
2020-04-11,Norfolk County,43732,21291,22439,,30181,3241,6828,131,71,3280,39128,2333,2271,2291,14809,13311,9984,3057
2020-04-18,Norfolk County,48710,23485,25223,,33188,3739,7916,136,83,3648,43601,2585,2524,2674,16403,14728,11185,3386
2020-04-25,Norfolk County,51819,24642,27174,,34968,4206,8500,143,92,3910,46340,2778,2701,2928,17344,15668,11866,3658
2020-05-02,Norfolk County,53361,25040,28319,,35776,4528,8766,154,91,4046,47706,2891,2764,3070,17739,16142,12250,3791
2020-05-09,Norfolk County,53748,24871,28875,,35809,4771,8766,158,91,4153,47989,2975,2784,3123,17766,16319,12374,3799
2020-05-16,Norfolk County,53939,24676,29263,,35751,4948,8746,167,89,4238,48082,3020,2837,3138,17704,16423,12484,3829
2020-05-23,Norfolk County,53165,23955,29209,,35022,5052,8611,168,89,4223,47352,3019,2794,3101,17340,16156,12431,3781
2020-05-30,Norfolk County,51934,23143,28791,,34005,5090,8421,156,93,4169,46195,3003,2736,3008,16749,15754,12328,3751
2020-06-06,Norfolk County,51527,22667,28860,,33330,5357,8417,151,96,4176,45764,3031,2732,2993,16435,15652,12372,3729
2020-06-13,Norfolk County,50334,22012,28322,,32223,5395,8338,146,97,4135,44647,3026,2661,2951,16065,15246,12063,3673
2020-06-20,Norfolk County,49374,21494,27880,,31449,5399,8179,153,96,4098,43722,2996,2656,2896,15643,14848,11948,3707
2020-06-27,Norfolk County,48272,21166,27106,,30668,5505,7826,148,94,4031,42724,2941,2607,2812,15306,14426,11688,3717
2020-07-04,Norfolk County,47792,20816,26976,,30450,5510,7630,145,92,3965,42330,2910,2552,2738,15020,14155,11777,3787
2020-07-11,Norfolk County,46443,20185,26258,,29469,5428,7446,138,90,3872,41056,2865,2522,2704,14617,13720,11394,3701
2020-07-18,Norfolk County,45429,19797,25632,,28732,5360,7298,134,91,3814,40123,2820,2486,2648,14288,13380,11135,3682
2020-07-25,Norfolk County,44676,19452,25224,,28192,5338,7168,133,89,3756,39460,2762,2454,2615,14026,13135,10936,3667
2020-08-01,Norfolk County,41011,17863,23148,,25936,5011,6383,125,83,3473,36203,2528,2280,2359,12861,12005,10088,3431
2020-08-08,Norfolk County,38730,16897,21833,,24480,4848,5899,124,74,3305,34174,2398,2158,2214,12173,11383,9443,3268
2020-08-15,Norfolk County,37085,16215,20870,,23442,4638,5610,119,69,3207,32676,2298,2111,2128,11696,10808,9043,3174
2020-08-22,Norfolk County,35996,15826,20170,,22793,4512,5383,124,67,3117,31696,2223,2077,2052,11378,10446,8815,3076
2020-08-29,Norfolk County,35016,15470,19546,,22211,4395,5224,125,62,2999,30833,2161,2022,2004,11024,10191,8562,3021
2020-09-05,Norfolk County,33581,14916,18665,,21241,4232,5011,117,67,2913,29579,2071,1931,1910,10638,9836,8174,2812
2020-09-12,Norfolk County,31920,14197,17723,,20092,4079,4814,121,62,2752,28076,1987,1857,1825,10156,9345,7732,2661
2020-09-19,Norfolk County,28659,12860,15799,,18017,3703,4298,108,56,2477,25169,1807,1683,1617,8951,8286,7139,2486
2020-09-26,Norfolk County,25146,11395,13751,,15859,3292,3607,125,50,2213,22116,1556,1474,1424,7482,7149,6562,2378
2020-10-03,Norfolk County,22633,10397,12236,,14538,2971,2954,116,46,2008,19918,1362,1353,1182,6434,6318,6268,2304
2020-10-10,Norfolk County,21317,9919,11398,,14138,2684,2394,161,42,1898,18829,1220,1268,986,5614,5867,6371,2382
2020-10-17,Norfolk County,20652,9762,10890,,14023,2468,2084,151,40,1886,18243,1115,1294,887,5082,5699,6493,2416
2020-10-24,Norfolk County,19145,9129,10016,,13173,2218,1796,144,37,1777,16910,1002,1233,797,4556,5185,6287,2251
2020-10-31,Norfolk County,17580,8376,9204,,12108,2002,1636,128,29,1677,15443,946,1191,718,4222,4704,5768,2104
2020-11-07,Norfolk County,17006,8091,8915,,11675,1870,1545,176,34,1706,14905,895,1206,664,3970,4519,5677,2118
2020-11-14,Norfolk County,16514,8019,8495,,11392,1734,1466,276,28,1618,14537,823,1154,626,3666,4415,5630,2119
2020-11-21,Norfolk County,13796,6681,7115,,9379,1583,1319,107,23,1385,12063,750,983,540,3403,3672,4524,1604
2020-11-28,Norfolk County,13359,6539,6820,,9153,1499,1285,113,21,1288,11723,741,895,529,3325,3562,4261,1635
2020-12-05,Norfolk County,12907,6414,6493,,9006,1412,1211,61,19,1198,11378,705,824,512,3240,3514,4074,1526
2020-12-12,Norfolk County,12464,6189,6275,,8450,1345,1191,50,16,1412,10733,713,1018,512,3190,3406,3887,1422
2020-12-19,Norfolk County,11624,5895,5729,,8005,1268,1163,50,16,1122,10198,706,720,517,3236,3227,3332,1265
2020-12-26,Norfolk County,11908,6055,5853,,8157,1306,1249,56,19,1121,10466,751,691,557,3509,3303,3237,1252
2021-01-02,Norfolk County,12501,6497,6004,,8418,1420,1386,53,23,1201,10976,755,770,626,3856,3432,3289,1243
2021-01-09,Norfolk County,12630,6726,5904,,8550,1386,1480,59,21,1134,11148,755,727,647,3875,3502,3297,1249
2021-01-16,Norfolk County,12587,6682,5905,,8557,1338,1490,51,22,1129,11075,766,746,668,3868,3445,3323,1219
2021-01-23,Norfolk County,12242,6562,5680,,8268,1298,1490,56,18,1112,10787,716,739,645,3794,3318,3220,1200
2021-01-30,Norfolk County,12176,6571,5605,,8280,1271,1459,50,20,1096,10753,719,704,660,3772,3303,3175,1199
2021-02-06,Norfolk County,11842,6403,5439,,7999,1265,1413,70,21,1074,10428,714,700,653,3712,3208,3072,1133
2021-02-13,Norfolk County,11169,6092,5077,,7573,1195,1344,51,20,986,9853,674,642,611,3626,2983,2810,1079
2021-02-20,Norfolk County,11101,6063,5038,,7450,1264,1322,60,21,984,9753,680,668,615,3664,3001,2744,1015
2021-02-27,Norfolk County,10393,5719,4674,,7019,1131,1262,38,19,924,9137,647,609,582,3420,2771,2583,979
2021-03-06,Norfolk County,9887,5444,4443,,6620,1110,1205,48,19,885,8667,618,602,555,3286,2640,2413,946
2021-03-13,Norfolk County,9565,5261,4304,,6342,1108,1189,43,21,862,8378,610,577,538,3230,2513,2312,923
2021-03-20,Norfolk County,9038,4962,4076,,5899,1097,1160,41,19,822,7914,601,523,527,3065,2421,2121,854
2021-03-27,Norfolk County,8499,4646,3853,,5503,1076,1069,39,17,795,7418,573,508,481,2848,2293,2020,807
2021-04-03,Norfolk County,8088,4420,3668,,5212,1062,978,34,19,783,7046,539,503,464,2644,2196,1965,773
2021-04-10,Norfolk County,7421,3983,3438,,4753,1010,882,28,22,726,6469,514,438,406,2443,2018,1787,727
2021-04-17,Norfolk County,6996,3727,3269,,4450,967,830,29,21,699,6080,492,424,360,2296,1948,1683,675
2021-04-24,Norfolk County,7017,3696,3321,,4402,1085,801,25,19,685,6108,493,416,354,2323,1990,1659,664
2021-05-01,Norfolk County,6517,3413,3104,,4050,972,765,27,17,686,5631,479,407,327,2102,1836,1592,635
2021-05-08,Norfolk County,6214,3239,2975,,3840,936,736,23,17,662,5372,462,380,300,1998,1729,1550,610
2021-05-15,Norfolk County,6107,3154,2953,,3753,935,739,24,16,640,5284,452,371,292,1960,1691,1517,622
2021-05-22,Norfolk County,5985,3084,2901,,3697,893,744,18,15,618,5185,432,368,289,1913,1662,1465,631
2021-05-29,Norfolk County,5923,3007,2916,,3641,896,741,14,13,618,5136,420,367,285,1875,1659,1461,623
2021-06-05,Norfolk County,5654,2882,2772,,3479,873,687,18,11,586,4905,403,346,273,1770,1592,1403,596
2021-06-12,Norfolk County,5099,2617,2482,,3175,788,555,18,10,553,4404,380,315,216,1580,1431,1297,554
2021-06-19,Norfolk County,4971,2526,2444,*,3124,777,505,17,8,540,4277,366,328,210,1536,1385,1256,565
2021-06-26,Norfolk County,5214,2611,2602,*,3270,874,499,12,8,551,4515,371,328,213,1642,1432,1282,623
2021-07-03,Norfolk County,5249,2589,2659,*,3294,894,489,14,11,547,4541,374,334,207,1623,1446,1306,648
2021-07-10,Norfolk County,5156,2520,2635,*,3238,866,484,15,11,542,4453,378,325,203,1594,1419,1269,654
2021-07-17,Norfolk County,5041,2445,2595,*,3185,823,475,18,10,530,4359,366,316,192,1542,1369,1261,663
2021-07-24,Norfolk County,4974,2384,2589,*,3151,823,446,18,13,523,4326,351,297,185,1518,1344,1233,681
2021-07-31,Norfolk County,4962,2382,2579,*,3150,829,429,17,15,522,4310,348,304,176,1525,1348,1236,667
2021-08-07,Norfolk County,4839,2353,2485,*,3077,811,416,16,11,508,4204,332,303,170,1510,1294,1214,639
2021-08-14,Norfolk County,4716,2307,2408,*,3025,785,387,13,11,495,4092,317,307,154,1444,1272,1191,644
2021-08-21,Norfolk County,4589,2240,2348,*,2934,759,385,14,10,487,3978,307,304,158,1414,1229,1179,600
2021-08-28,Norfolk County,4414,2192,2220,*,2810,738,357,13,9,487,3814,296,304,154,1373,1187,1113,579
2021-09-04,Norfolk County,4070,2050,2018,*,2554,723,317,9,10,457,3515,267,288,137,1274,1096,1039,518
2021-09-11,Norfolk County,4973,2424,2548,*,3106,898,413,15,13,528,4308,338,327,185,1561,1427,1228,562
2021-09-18,Norfolk County,4796,2349,2447,,3010,849,391,18,11,517,4135,335,326,160,1489,1375,1215,547
2021-09-25,Norfolk County,4566,2265,2300,*,2863,816,359,18,9,501,3934,335,297,145,1370,1309,1190,538
2021-10-02,Norfolk County,4367,2204,2163,,2745,767,333,21,8,493,3773,308,286,127,1317,1246,1131,532
2021-10-09,Norfolk County,4171,2121,2048,*,2661,713,332,18,7,440,3628,285,258,129,1226,1201,1083,521
2021-10-16,Norfolk County,4746,2450,2294,*,3048,789,364,20,7,518,4118,320,308,137,1375,1331,1294,597
2021-10-23,Norfolk County,4131,2183,1945,*,2693,649,316,19,8,446,3585,269,277,120,1180,1135,1155,531
2021-10-30,Norfolk County,4804,2572,2229,*,3161,745,351,19,10,518,4168,300,336,131,1359,1307,1375,620
2021-11-06,Norfolk County,4219,2256,1961,*,2808,631,319,15,8,438,3675,250,294,123,1131,1144,1248,561
2021-11-13,Norfolk County,4265,2259,2004,*,2901,620,289,21,9,425,3727,238,300,125,1154,1146,1285,544
2021-11-20,Norfolk County,4092,2198,1893,*,2747,634,274,19,9,409,3590,218,284,114,1155,1136,1170,504
2021-11-27,Norfolk County,4140,2243,1893,*,2805,637,265,18,12,403,3603,248,289,118,1204,1144,1157,504
2021-12-04,Norfolk County,4145,2283,1861,*,2819,620,267,18,13,408,3612,234,299,116,1218,1183,1114,500
2021-12-11,Norfolk County,4132,2322,1806,*,2851,602,270,18,11,380,3609,240,283,122,1258,1181,1086,472
2021-12-18,Norfolk County,4119,2352,1763,*,2814,613,265,20,12,395,3588,251,280,132,1303,1195,1024,452
2021-12-25,Norfolk County,4433,2550,1879,*,3015,656,303,16,12,431,3845,283,305,164,1440,1247,1105,464
